Focus Area,Focus Area Value,Desired Outcome,Desired Outcome Value,Coaching Style,Coaching Style Value,Algorithm Scenario,Daily Goal (Day),Daily Goal Prompt,Description (Why),Description (How)
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,1,"Day 1: Chug that glass of water like your life depends on it – because it does, and it's setting the standard for your relentless journey ahead.","Why: Hydration kickstarts your system, boosts metabolism, and fuels the relentless mindset needed for your journey.","Day 1: How: Slam that glass of water down before lunch – no excuses, no hesitation."
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,2,Day 2: Say goodbye to that sugary poison and replace it with water or herbal tea – you're cutting ties with weakness.,"Why: Sugar is weakness, and you're on a path to eradicate it. Cutting it out sharpens your focus and ignites your inner fire.","Day 2: How: Ditch the sugary crap, grab water or herbal tea – it's non-negotiable."
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,3,"Day 3: Leafy greens in your meal, no excuses – they're the fuel your warrior body craves.","Why: Greens are the fuel of warriors, loaded with essential nutrients that your body craves for endurance and strength.","Day 3: How: Leafy greens – pile 'em on your plate, no skimping"
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,4,Day 4: Processed junk has no place in your life – grab those nuts or fruit like the relentless machine you are.,Why: Processed snacks are a disgrace to your mission. Nuts and fruits provide sustained energy and the nutrients needed to conquer challenges.,"Day 4: How: Processed junk out, nuts or fruit in – fuel your body with purpose."
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,5,"Day 5: Salad? No wimping out – get it done, and don't even think about complaining.","Why: Salads are the foundation of a warrior's diet, packed with what you need to perform at your best – it's non-negotiable.","Day 5: How: Salad, no excuses – even a pre-made bag will do."
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,6,"Day 6: Lean protein fuels your relentless pursuit of greatness – chicken, fish, or tofu, choose wisely.","Why: Protein builds your battle-hardened physique, fires up metabolism, and keeps you going strong on the relentless journey.","Day 6: How: Lean protein like chicken, fish, or tofu – choose wisely."
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,7,Day 7: Prep your meals like it's a military operation – no room for haphazardness.,"Why: Preparation is the key to staying on the path. It ensures you're never caught off guard, ready to conquer the day.",Day 7: How: Prep your meals like it's a military operation – no room for error.
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,8,"Day 8: Whole grains, not the junk – brown rice, whole wheat bread, or quinoa – the warriors' choice.","Why: Whole grains are the foundation of relentless energy, keeping you fueled and ready to push past limits.",Day 8: How: Swap processed garbage for whole grains like brown rice or quinoa – it's your choice.
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,9,Day 9: New fruit or veggie? Dive in like an explorer – embrace the unknown.,"Why: Variety fuels resilience and ensures you get a spectrum of nutrients, crucial for your journey.",Day 9: How: Embrace the unknown – try a new fruit or veggie.
Nutrition & Diet,A,Weight Loss,1,Coach Vincent Fury,a,A1a,10,"Day 10: A rainbow on your plate, because you demand diversity and nutrients.","Why: Different colors mean different nutrients, and you're not settling for anything less.",Day 10: How: A colorful plate – because you demand diversity and a body fortified for battle.
